iter	RMSE
0	795537.2436
1	763777.1688
2	733607.7531
3	705218.067
4	679380.4737
5	653636.3656
6	629615.0093
7	605569.9707
8	583659.4954
9	562031.9265
10	541913.0533
11	523557.6248
12	505647.7339
13	488598.3321
14	472324.1613
15	457185.7487
16	442803.2837
17	429291.0382
18	416190.0385
19	404557.4458
20	393442.0877
21	383034.8308
22	373657.3818
23	364178.8071
24	355553.2673
25	347313.2578
26	339549.0683
27	332031.4506
28	325225.0953
29	318635.3923
30	313013.4753
31	307489.4063
32	301966.5963
33	297240.164
34	292696.1468
35	288372.8418
36	284397.1108
37	280569.6353
38	277043.0768
39	273815.1705
40	271000.2226
41	268293.9956
42	265477.3672
43	263112.648
44	260886.6675
45	258545.8508
46	256561.1881
47	254902.9149
48	253306.2258
49	251433.9041
50	249933.2773
51	248246.5233
52	246610.0311
53	245241.467
54	244036.7955
55	242867.7575
56	241855.0037
57	240855.6625
58	239743.9589
59	238523.8968
60	237259.0205
61	236362.618
62	235406.0553
63	234780.3857
64	233559.9473
65	232702.7409
66	232075.2442
67	231203.9535
68	230447.3716
69	229924.1107
70	229414.6361
71	228889.4337
72	228262.3588
73	227708.0224
74	227176.7839
75	226732.2277
76	226425.6644
77	225961.536
78	225566.8431
79	224898.5046
80	224560.0329
81	224032.789
82	223415.2201
83	223066.8084
84	222505.8221
85	222308.7565
86	222008.5968
87	221149.1541
88	220280.6303
89	219937.753
90	219568.0522
91	219131.1968
92	218653.2711
93	218470.8782
94	218227.3127
95	217918.7683
96	217414.2733
97	217128.9661
98	216802.7561
99	216521.6219
100	215771.57
101	215505.6351
102	215191.2057
103	214990.1161
104	214654.3191
105	214190.621
106	213862.3417
107	213599.7534
108	212936.1242
109	212683.4512
110	212478.7937
111	212244.5253
112	211864.0991
113	211418.3792
114	211129.0913
115	210968.2604
116	210310.5738
117	209846.4199
118	209518.3832
119	209220.7601
120	208833.8586
121	208507.242
122	208314.1478
123	208051.0397
124	207506.1075
125	207287.1107
126	206975.5852
127	206542.2471
128	206252.7418
129	205935.77
130	205518.4376
131	205337.0173
132	205130.1263
133	204660.434
134	204568.102
135	204316.3601
136	204102.7749
137	203528.325
138	202949.5175
139	202393.0061
140	202229.6652
141	201983.4249
142	201627.29
143	201015.1761
144	200870.1945
145	200686.6612
146	199980.0459
147	199807.4468
148	199491.3775
149	199223.7252
150	198894.2437
151	198666.7403
152	198562.6743
153	198338.7732
154	197897.6496
155	197638.88
156	197446.7712
157	197300.0714
158	196989.1567
159	196634.2607
160	196320.5715
161	196163.3177
162	195969.1354
163	195370.2509
164	195217.2229
165	194943.9571
166	194754.268
167	194613.3572
168	194425.9517
169	194219.9101
170	194080.9006
171	193928.4958
172	193722.9788
173	193506.7991
174	193391.8011
175	193263.7554
176	192891.4797
177	192747.661
178	192592.1117
179	192412.2485
180	192190.3051
181	192000.4419
182	191882.5161
183	191706.1716
184	191289.59
185	191191.9465
186	190989.9548
187	190874.2927
188	190649.0305
189	190463.5135
190	190356.8027
191	190143.1361
192	189944.7419
193	189702.7999
194	189516.2847
195	189391.8595
196	188965.8143
197	188336.1778
198	188239.4903
199	188116.9846
200	188017.3406
201	187866.072
202	187622.4805
203	187458.4631
204	186964.5467
205	186745.0888
206	186353.9609
207	186191.5519
208	185812.1926
209	185322.1744
210	185132.7938
211	184954.999
212	184542.9626
213	184236.4132
214	184030.8225
215	183849.3808
216	183695.5894
217	183519.1944
218	183052.383
219	182952.3514
220	182875.7154
221	182488.669
222	182189.5475
223	181597.688
224	181460.4176
225	181253.7661
226	180995.9047
227	180550.5477
228	179860.0011
229	179504.3998
230	179372.7541
231	179201.5396
232	179127.8424
233	178839.8812
234	178571.2762
235	178383.7093
236	178311.361
237	178141.7575
238	177781.933
239	177580.8397
240	177420.1658
241	177248.1387
242	177125.0507
243	176878.0137
244	176636.2931
245	176429.4587
246	176186.4499
247	176076.89
248	175860.0359
249	175542.7869
