iter	Passed	Remaining
0	4	1516
1	5	1007
2	8	958
3	11	974
4	12	856
5	13	773
6	14	714
7	15	661
8	16	621
9	17	585
10	18	555
11	18	529
12	19	507
13	20	488
14	21	470
15	21	455
16	24	475
17	25	477
18	27	471
19	28	465
20	30	479
21	31	474
22	32	466
23	33	456
24	34	447
25	35	439
26	36	431
27	36	423
28	38	426
29	39	424
30	41	424
31	42	417
32	42	411
33	43	402
34	44	396
35	44	391
36	45	386
37	46	381
38	47	376
39	47	371
40	48	366
41	49	362
42	50	358
43	50	354
44	53	360
45	54	361
46	56	361
47	56	357
48	57	354
49	58	351
50	59	348
51	60	345
52	61	343
53	62	341
54	63	339
55	64	336
56	65	334
57	65	331
58	67	331
59	68	332
60	70	332
61	70	329
62	71	327
63	72	325
64	73	322
65	74	320
66	75	318
67	76	316
68	77	314
69	77	311
70	78	309
71	79	307
72	80	305
73	83	309
74	84	310
75	85	309
76	86	307
77	87	305
78	88	303
79	89	301
80	90	299
81	91	297
82	91	295
83	92	293
84	93	291
85	94	289
86	95	287
87	95	285
88	100	294
89	102	294
90	103	294
91	104	293
92	105	292
93	106	290
94	107	289
95	109	289
96	110	287
97	111	286
98	113	288
99	115	288
100	116	287
101	117	285
102	118	283
103	119	281
104	120	280
105	121	278
106	122	277
107	123	275
108	124	274
109	125	273
110	126	272
111	127	271
112	129	271
113	130	269
114	131	268
115	132	267
116	133	265
117	134	263
118	134	261
119	135	259
120	136	257
121	137	256
122	137	254
123	138	252
124	139	250
125	140	249
126	141	248
127	142	247
128	143	246
129	144	244
130	145	243
131	146	241
132	147	240
133	148	238
134	149	237
135	149	235
136	150	234
137	151	232
138	152	230
139	153	229
140	153	227
141	154	226
142	155	225
143	157	225
144	158	224
145	159	223
146	160	221
147	161	220
148	163	220
149	165	221
150	166	219
151	167	218
152	168	216
153	169	215
154	170	214
155	171	213
156	173	212
157	173	211
158	174	209
159	175	208
160	176	206
161	176	205
162	177	203
163	178	202
164	179	200
165	179	199
166	180	198
167	181	196
168	182	195
169	183	193
170	183	192
171	185	192
172	186	191
173	187	190
174	188	188
175	189	187
176	190	186
177	191	184
178	191	183
179	192	182
180	193	180
181	194	179
182	195	178
183	195	176
184	196	175
185	197	174
186	198	172
187	199	171
188	201	171
189	202	170
190	203	169
191	204	168
192	205	166
193	205	165
194	206	164
195	207	162
196	208	161
197	208	160
198	209	158
199	210	157
200	211	156
201	211	155
202	212	153
203	213	152
204	214	151
205	215	150
206	216	149
207	217	148
208	218	147
209	219	146
210	220	145
211	220	143
212	221	142
213	222	141
214	222	139
215	223	138
216	224	137
217	225	136
218	225	135
219	226	133
220	227	132
221	228	131
222	229	130
223	230	129
224	232	128
225	232	127
226	233	126
227	234	125
228	235	124
229	235	123
230	236	121
231	237	120
232	238	119
233	238	118
234	239	117
235	240	116
236	241	115
237	242	113
238	242	112
239	243	111
240	245	110
241	246	109
242	247	108
243	247	107
244	248	106
245	249	105
246	250	104
247	251	103
248	251	102
249	252	101
250	253	99
251	254	98
252	254	97
253	255	96
254	256	95
255	257	94
256	257	93
257	259	92
258	261	91
259	262	90
260	263	89
261	264	88
262	264	87
263	265	86
264	266	85
265	267	84
266	268	83
267	268	82
268	269	81
269	270	80
270	270	78
271	271	77
272	272	76
273	273	75
274	274	74
275	275	73
276	276	72
277	277	71
278	277	70
279	278	69
280	279	68
281	279	67
282	280	66
283	281	65
284	282	64
285	282	63
286	283	62
287	284	61
288	285	60
289	285	59
290	286	58
291	287	57
292	288	56
293	289	55
294	290	54
295	291	53
296	291	52
297	292	51
298	293	50
299	294	49
300	294	47
301	295	46
302	296	45
303	297	44
304	297	43
305	298	42
306	299	41
307	300	40
308	300	39
309	301	38
310	302	37
311	303	36
312	304	35
313	305	34
314	306	34
315	306	33
316	307	32
317	308	31
318	308	30
319	309	29
320	310	28
321	311	27
322	311	26
323	312	25
324	313	24
325	314	23
326	314	22
327	315	21
328	316	20
329	317	19
330	318	18
331	319	17
332	320	16
333	321	15
334	322	14
335	323	13
336	323	12
337	324	11
338	325	10
339	326	9
340	326	8
341	327	7
342	328	6
343	329	5
344	329	4
345	330	3
346	331	2
347	331	1
348	333	0
349	334	0
