timestamp,forecast,model_name,lower_bound,upper_bound
2026-04-01,7480143.373307651,ets,7041237.057840765,7919049.688774536
2026-04-02,7438607.643240155,ets,6999701.327773269,7877513.95870704
2026-04-03,7429084.122630934,ets,6990177.807164049,7867990.43809782
2026-04-04,7425592.738456188,ets,6986686.422989302,7864499.053923073
2026-04-05,7398845.898828785,ets,6959939.5833618995,7837752.21429567
2026-04-06,7384136.870204201,ets,6945230.5547373155,7823043.185671086
2026-04-07,7389883.278857235,ets,6950976.963390349,7828789.59432412
2026-04-08,7397206.180778519,ets,6958299.865311634,7836112.496245405
2026-04-09,7355670.450711023,ets,6916764.135244138,7794576.7661779085
2026-04-10,7346146.9301018035,ets,6907240.614634918,7785053.245568689
2026-04-11,7342655.545927056,ets,6903749.230460171,7781561.861393942
2026-04-12,7315908.706299653,ets,6877002.390832768,7754815.021766539
2026-04-13,7301199.677675069,ets,6862293.362208184,7740105.993141955
2026-04-14,7306946.086328103,ets,6868039.770861218,7745852.401794989
2026-04-15,7314268.988249388,ets,6875362.672782502,7753175.303716273
2026-04-16,7272733.258181891,ets,6833826.942715006,7711639.573648777
2026-04-17,7263209.737572672,ets,6824303.422105786,7702116.053039557
2026-04-18,7259718.353397924,ets,6820812.037931039,7698624.66886481
2026-04-19,7232971.513770522,ets,6794065.198303636,7671877.829237407
2026-04-20,7218262.485145938,ets,6779356.169679052,7657168.800612823
2026-04-21,7224008.893798972,ets,6785102.578332086,7662915.209265857
2026-04-22,7231331.795720256,ets,6792425.4802533705,7670238.111187141
2026-04-23,7189796.065652761,ets,6750889.750185875,7628702.381119646
2026-04-24,7180272.54504354,ets,6741366.229576655,7619178.860510426
2026-04-25,7176781.160868793,ets,6737874.845401907,7615687.476335678
2026-04-26,7150034.32124139,ets,6711128.0057745045,7588940.636708275
2026-04-27,7135325.292616806,ets,6696418.977149921,7574231.608083691
2026-04-28,7141071.70126984,ets,6702165.385802954,7579978.016736725
2026-04-29,7148394.603191124,ets,6709488.287724239,7587300.91865801
2026-04-30,7106858.873123629,ets,6667952.557656744,7545765.1885905145
